pmid,pmcid,doi,title,keywords,abstract,fulltext,links,site

# oup
0,0,19,56,5,960,0,2,https://doi.org/10.1093/BIB/3.4.331
0,0,31,71,0,0,0,2,https://doi.org/10.1093/BIOINFORMATICS/13.5.555
0,0,29,40,0,696,0,2,https://doi.org/10.1093/BIOINFORMATICS/BTG334
0,0,29,45,0,1079,9274,2,https://doi.org/10.1093/BIOINFORMATICS/BTX116
0,0,28,95,0,1104,33116,2,https://doi.org/10.1093/BIOSTATISTICS/KXJ032
0,0,23,68,5,1069,0,2,https://doi.org/10.1093/CZOOLO/61.5.854
0,0,23,35,0,1240,29531,2,https://doi.org/10.1093/DATABASE/BAP020
0,0,18,82,0,1265,26496,2,https://doi.org/10.1093/HMG/DDT384
0,0,21,66,0,1876,21830,2,https://doi.org/10.1093/JHERED/ESI094
0,0,21,113,5,1497,43204,2,https://doi.org/10.1093/MOLBEV/MSH194
0,0,18,98,0,1442,17079,2,https://doi.org/10.1093/NAR/GKG014
0,0,18,68,0,2330,29041,2,https://doi.org/10.1093/NAR/GKH408
0,0,18,153,0,1328,47191,2,https://doi.org/10.1093/NAR/GNJ005
0,0,18,80,0,1088,17343,2,https://doi.org/10.1093/PCP/PCR141
0,0,23,64,0,767,32329,2,https://doi.org/10.1093/PROTEIN/12.1.15
0,0,25,102,5,2036,38521,2,https://doi.org/10.1080/10635150500541599
# keywords question
0,0,21,83,9,1493,39412,2,https://doi.org/10.1093/GLYCOB/CWJ049

# citeseerx
# registry from oaDOI
0,0,0,59,0,1011,0,3,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.10.8642
0,0,0,130,0,0,0,3,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.1033.1320
0,0,0,69,0,239,0,4,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.1000.819
0,0,0,54,0,1372,0,4,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.8.4654
0,0,0,68,0,1772,0,6,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.7.8372
0,0,0,76,0,1269,0,3,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.606.451
0,0,0,76,0,19,0,6,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.356.8938
0,0,0,49,0,23,0,5,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.806.3663

# wiley
0,0,26,45,0,1154,0,2,https://doi.org/10.1002/9781118782392.ch27
0,0,28,83,0,511,0,3,https://doi.org/10.1002/0471140864.ps1605s14
0,0,29,41,0,0,0,2,https://doi.org/10.1002/9780471650126.dob0949
0,0,59,75,0,2214,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/1097-0134(20001001)41:1%3C108::AID-PROT130%3E3.0.CO;2-S
0,0,52,129,0,1123,0,2,https://onlinelibrary.wiley.com/doi/abs/10.1002/1098-2272(2000)19:1%2B<::AID-GEPI15>3.0.CO;2-1
0,0,56,98,0,1236,0,2,https://doi.org/10.1002/1615-9861(200102)1:2%3C340::AID-PROT340%3E3.0.CO;2-B
0,0,22,84,0,809,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.201507047
0,0,20,73,0,1579,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/cyto.a.20531
0,0,18,58,0,1484,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.21438
0,0,17,93,0,1088,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcc.10386
0,0,22,110,0,1452,0,2,https://onlinelibrary.wiley.com/doi/abs/10.1002/pmic.200300402
0,0,22,166,0,459,0,2,https://onlinelibrary.wiley.com/doi/abs/10.1002/pmic.200300483
0,0,22,49,0,1972,0,2,https://doi.org/10.1002/pro.5560020302
0,0,18,28,0,828,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/prot.10146
0,0,64,71,0,1332,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1097-0061(20000130)16:2%3C177::AID-YEA516%3E3.0.CO;2-9
0,0,28,94,0,653,0,2,https://doi.org/10.1016/0014-5793(87)80439-8
0,0,20,52,0,694,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1038/clpt.2012.96
0,0,32,198,0,2188,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1469-1809.2003.00030.x
0,0,21,59,0,1779,0,2,https://onlinelibrary.wiley.com/doi/abs/10.1055/s-2004-817909
0,0,16,48,0,992,0,2,https://doi.org/10.1087/20120404
0,0,18,107,0,932,0,2,https://doi.org/10.1110/ps.8.5.978
0,0,25,55,0,1052,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1111/1755-0998.12009.x
0,0,32,80,0,906,0,2,https://doi.org/10.1111/j.0006-341X.2001.00245.x
0,0,23,123,0,1294,0,3,https://onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12628

# wiley_full
0,0,28,83,0,511,0,1,https://currentprotocols.onlinelibrary.wiley.com/doi/full/10.1002/0471140864.ps1605s14
0,0,29,41,0,0,0,1,https://onlinelibrary.wiley.com/doi/full/10.1002/9780471650126.dob0949
0,0,59,75,0,2214,48472,2,https://onlinelibrary.wiley.com/doi/full/10.1002/1097-0134(20001001)41:1<108::AID-PROT130>3.0.CO;2-S
0,0,52,129,0,1123,0,2,https://onlinelibrary.wiley.com/doi/full/10.1002/1098-2272(2000)19:1%2B<::AID-GEPI15>3.0.CO;2-1
0,0,22,84,0,809,18751,2,https://onlinelibrary.wiley.com/doi/full/10.1002/ange.201507047
0,0,20,73,0,1579,43185,2,https://onlinelibrary.wiley.com/doi/full/10.1002/cyto.a.20531
0,0,18,58,0,1484,29518,2,https://onlinelibrary.wiley.com/doi/full/10.1002/humu.21438
0,0,17,93,0,1088,24465,2,https://onlinelibrary.wiley.com/doi/full/10.1002/jcc.10386
0,0,22,110,0,1452,0,2,https://onlinelibrary.wiley.com/doi/full/10.1002/pmic.200300402
0,0,22,166,0,459,0,2,https://onlinelibrary.wiley.com/doi/full/10.1002/pmic.200300483
0,0,18,28,0,828,49480,2,https://onlinelibrary.wiley.com/doi/full/10.1002/prot.10146
0,0,64,71,0,1332,30808,2,https://onlinelibrary.wiley.com/doi/full/10.1002/(SICI)1097-0061(20000130)16:2<177::AID-YEA516>3.0.CO;2-9
0,0,20,52,0,694,10006,2,https://onlinelibrary.wiley.com/doi/full/10.1038/clpt.2012.96
0,0,32,198,0,2188,33157,2,https://onlinelibrary.wiley.com/doi/full/10.1046/j.1469-1809.2003.00030.x
0,0,21,59,0,1779,0,2,https://onlinelibrary.wiley.com/doi/full/10.1055/s-2004-817909
0,0,25,55,0,1052,33768,2,https://onlinelibrary.wiley.com/doi/full/10.1111/1755-0998.12009.x
0,0,23,123,0,1294,29792,2,https://onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.12628

# sciencedirect
# fulltext not working
# pdf_a not working
0,0,28,63,0,782,0,1,https://doi.org/10.1016/0006-2944(75)90147-7
0,0,28,126,0,1695,0,1,https://doi.org/10.1016/0888-7543(91)90071-L
0,0,34,94,0,1339,0,1,https://doi.org/10.1016/B978-0-12-385120-8.00008-5
0,0,14,84,0,1471,0,1,https://doi.org/10.1086/519795
0,0,26,80,0,1419,0,1,https://doi.org/10.1016/j.cels.2016.07.001
0,0,28,53,3,785,0,1,https://doi.org/10.1016/0263-7855(90)80070-V
0,0,28,104,8,1615,0,1,https://doi.org/10.1016/0378-1119(95)00714-8
# can't remove extra footnote link from title
0,0,22,102,9,1134,0,1,https://doi.org/10.1006/jmbi.2000.4315
0,0,25,80,0,1035,0,1,https://doi.org/10.1016/j.str.2010.12.023
0,0,26,76,5,1005,0,1,https://doi.org/10.1016/j.mito.2010.10.005
0,0,28,117,0,1463,0,1,https://doi.org/10.1016/j.celrep.2015.06.031
0,0,27,110,4,740,0,1,https://doi.org/10.1016/j.softx.2015.06.001

# springer
0,0,18,83,4,665,0,1,https://doi.org/10.1007/BF00182187
0,0,25,97,6,1028,23593,2,https://doi.org/10.1007/s00216-009-3166-1
0,0,27,112,5,1053,0,2,https://doi.org/10.1007/978-0-387-49317-6_9
0,0,27,89,5,1108,0,1,https://doi.org/10.1007/978-1-4939-0366-5_8
0,0,21,54,3,759,0,2,https://doi.org/10.1007/s002510050595
0,0,27,166,5,1409,0,2,https://doi.org/10.1016/j.jasms.2003.12.011
0,0,29,132,5,1136,0,2,https://doi.org/10.1016/S1044-0305(01)00301-4
0,0,23,108,8,1646,0,2,https://doi.org/10.1023/A:1006960004440
0,0,25,86,5,1708,0,2,https://doi.org/10.1134/S1021443716020175
0,0,26,41,3,936,0,2,https://doi.org/10.1140/epje/i2007-10314-1
0,0,19,87,4,657,0,2,https://doi.org/10.1385/MB:22:3:301
0,0,32,89,5,1191,0,1,https://doi.org/10.2165/00822942-200594030-00002
0,0,25,44,10,1837,0,1,https://doi.org/10.1007/978-3-319-24277-4
0,0,23,135,5,0,0,1,https://doi.org/10.1007/0-306-47084-5_3
0,0,19,66,5,557,0,2,https://doi.org/10.1007/11564096_50
0,0,27,112,5,1053,0,2,https://doi.org/10.1007/978-0-387-49317-6_9
0,0,25,60,5,311,0,1,https://doi.org/10.1385/0-89603-276-0:267
0,0,0,31,0,1825,0,1,https://doi.org/10.1007/978-1-4419-9863-7

# springer_ref
0,0,30,7,0,519,978,1,https://doi.org/10.1007/978-1-4419-9863-7_1039
0,0,30,8,0,797,973,1,https://doi.org/10.1007/978-1-4419-9863-7_1352

# biomedcentral
0,0,24,76,4,1279,31742,2,https://doi.org/10.1186/1471-2105-10-110
0,0,25,69,5,1695,52426,2,https://doi.org/10.1186/s12859-015-0686-x
0,0,21,76,5,1640,20524,2,https://doi.org/10.1186/1471-2105-4-1
0,0,27,61,5,2497,55107,2,https://doi.org/10.1186/1471-2105-10-S10-S8
0,0,25,78,5,1328,43916,2,https://doi.org/10.1186/s12859-016-0963-3
0,0,33,97,5,771,11397,2,https://doi.org/10.1186/gb-2001-2-11-software0002
0,0,33,69,5,1591,40232,2,https://doi.org/10.1186/gb-2002-3-12-research0077
0,0,24,120,5,681,57152,2,https://doi.org/10.1186/gb-2014-15-2-r35
0,0,14,98,5,0,7805,2,https://doi.org/10.1186/gb4173
0,0,25,77,5,671,79355,2,https://doi.org/10.1186/s13059-014-0405-3
0,0,24,56,5,1707,16658,2,https://doi.org/10.1186/1471-2164-10-375
0,0,25,109,5,1458,49717,2,https://doi.org/10.1186/s12864-015-1704-0
0,0,22,96,5,1359,22201,2,https://doi.org/10.1186/1756-0500-1-30
0,0,21,76,5,1761,36966,2,https://doi.org/10.1186/1752-0509-1-2
0,0,25,137,5,1157,109882,2,https://doi.org/10.1186/s12918-015-0211-x
0,0,21,92,5,1982,54025,2,https://doi.org/10.1186/1748-7188-2-1
0,0,21,62,5,2184,17764,2,https://doi.org/10.1186/1751-0473-2-1
0,0,24,147,5,1889,58187,2,https://doi.org/10.1186/1471-2148-10-210
0,0,22,97,5,2106,51167,2,https://doi.org/10.1186/1756-8935-3-20
0,0,25,119,5,2517,61001,2,https://doi.org/10.1186/s13072-015-0028-2
0,0,21,53,5,1625,58798,2,https://doi.org/10.1186/1756-0381-3-1
0,0,26,109,5,0,157,2,https://doi.org/10.1186/1297-9686-26-6-537
0,0,22,107,5,1389,41423,2,https://doi.org/10.1186/1297-9686-44-9
0,0,22,49,5,2043,33047,2,https://doi.org/10.1186/1472-6807-9-44

# cshlp
0,0,19,20,0,1121,0,3,https://doi.org/10.1101/gr.10.4.511
0,0,21,71,0,1035,0,3,https://doi.org/10.1101/gr.210641.116
0,0,18,92,0,1242,0,3,https://doi.org/10.1101/gr.1239303
0,0,21,78,0,1841,0,3,https://doi.org/10.1101/gr.100040.109
0,0,18,137,0,1827,0,3,https://doi.org/10.1101/gr.6.5.454
0,0,17,135,0,1715,0,3,https://doi.org/10.1101/gr.255002
0,0,21,49,0,814,0,3,https://doi.org/10.1101/gr.088823.108

# cshlp_full
0,0,19,20,0,1121,18066,2,http://genome.cshlp.org/content/10/4/511.full
0,0,21,71,0,1035,35143,2,http://genome.cshlp.org/content/26/12/1721.full
0,0,18,92,0,1242,24882,2,http://genome.cshlp.org/content/13/11/2498.full
0,0,21,78,0,1841,49214,2,http://genome.cshlp.org/content/20/4/537.full
0,0,18,0,0,0,0,2,http://genome.cshlp.org/content/6/5/454.full
